sep=												
docPid	left_context	context	right_context	word	lemma	pos						
summary.searchParam.csvsepline	FALSE											
summary.searchParam.csvsummary	TRUE											
summary.searchParam.indexname	15879666@uva.nl:Foreign-Policy-REAL											
summary.searchParam.patt	[word="progress"]											
summary.subcorpusSize.documents	84											
summary.subcorpusSize.tokens	532185											
summary.numberOfHits	101											
summary.numberOfDocs	46											
							2	1	-1	-2		Explanation
ANNOTATION							Fukuyama Hard (Teleological, Deterministic)	1 = Fukuyama Light (Flexible, Non-Deterministic)	-1 = Non-Teleological (Not Teleological)	-2 = No Historical/Teleological Mention (Unrelated Progress)		
3	 import substitution briefly witnessed measurable	 progress	 toward their development goals .	progress		WORD				X		Economic Progress
3	 back the superpowers ' current	 progress	 toward sustained detente . The	progress		WORD	X					Inevitable Progress Towards Sustained Detente
5	 as misleading in assessing genuine	 progress	 in the Andean drug war	progress		WORD			X			
5	 milestones that fail to mark	 progress	 toward any meaningful goal .	progress		WORD			X			
5	 and equipment ] , requiring	 progress	 in tangible and intangible areas	progress		WORD			X			
5	 of military assistance or "	 progress	 " in the U.S. drug	progress		WORD				X		
6	 rich even as the poor	 progress	 in this communications revolution .	progress		WORD			X			More Open Ended View of Progress
8	 several years to show meaningful	 progress	 . From the American side	progress		WORD		X				Flexible, But no Singular Telos
8	 negotiation ; but in part	 progress	 will be possible because Japan	progress		WORD		X				Ideal Endpoint Improved Relations
9	 which has been accompanied by	 progress	 in arms control negotiations and	progress		WORD	X					Strongly Felt Around The Globe Suggests Inevitable New World Order.
9	 world economy . Rapid technological	 progress	 , along with exponential growth	progress		WORD				X		Technological Progress
9	 notable development is the rapid	 progress	 of Asia 's newly industrialized	progress		WORD				X		Economic Development
9	 we have high hopes for	 progress	 toward a new framework for	progress		WORD		X				Mentioning of Democracy and Market Integration but not inevatability or Singular Telos
9	 know that we expect further	 progress	 . It is on this	progress		WORD		X				Tone still Flexible
9	 in that country . Economic	 progress	 , in turn , is	progress		WORD	X					Economic Progress leading to China's Development and Democratisation, positing liberal democracy as telos.
9	 Soviet Union , and the	 progress	 toward the unification of Germany	progress		WORD				X		Progress in Unification in Germany
10	 in fact adversely affects technical	 progress	 , nor the findings of	progress		WORD				X		Technical Progress
10	 expect more rapid and substantial	 progress	 in them within one negotiation	progress		WORD				X		
